title;content
Sơ cứu Đuối nước;1. Đưa nạn nhân ra khỏi nước ngay lập tức. 2. Đặt nạn nhân nằm ngửa trên mặt phẳng cứng. 3. Nếu nạn nhân không thở, tiến hành hô hấp nhân tạo và ép tim ngoài lồng ngực (CPR) ngay lập tức theo nhịp 30 ép tim : 2 thổi ngạt. 4. Gọi cấp cứu 115.
Sơ cứu Bỏng (Phỏng);1. Nhanh chóng đưa nạn nhân ra khỏi nguồn gây bỏng. 2. Ngâm phần bị bỏng vào nước sạch, mát (không dùng nước đá lạnh) trong 15-20 phút. 3. Tháo bỏ trang sức, quần áo chật quanh vết bỏng trước khi vết thương sưng lên. 4. Không làm vỡ bọng nước. 5. Băng nhẹ vết bỏng bằng gạc sạch vô trùng. Gọi 115 nếu bỏng nặng.
Sơ cứu Sốc phản vệ;1. Đặt người bệnh nằm ngửa, nâng cao chân. 2. Nới lỏng quần áo. 3. Nếu bệnh nhân có mang theo bút tiêm Epinephrine (Adrenalin), hãy tiêm ngay vào mặt ngoài đùi. 4. Gọi cấp cứu 115 ngay lập tức. 5. Nếu ngừng thở, ngừng tim, tiến hành ép tim ngoài lồng ngực (CPR).
Đánh giá ban đầu (DRSABCD);Quy trình đánh giá ban đầu gồm 7 bước: 1. Danger (Nguy hiểm): Kiểm tra an toàn hiện trường. 2. Response (Phản ứng): Kiểm tra tri giác nạn nhân (gọi to, lay vai). 3. Send for help (Gọi trợ giúp): Gọi 115 hoặc nhờ người xung quanh. 4. Airway (Đường thở): Kiểm tra dị vật, ngửa đầu nâng cằm để mở đường thở. 5. Breathing (Thở): Kiểm tra nhịp thở trong tối đa 10 giây. 6. CPR (Hồi sinh tim phổi): Ép tim 30 lần, thổi ngạt 2 lần. 7. Defibrillator (Sốc điện): Sử dụng máy AED nếu có.
Xử trí Nghẹt đường thở (Hóc dị vật);1. Khuyến khích nạn nhân ho. 2. Nếu không ho được nhưng còn tỉnh: Thực hiện vỗ lưng 5 lần. Nếu không ra, chuyển sang ấn bụng (Heimlich) 5 lần. Luân phiên 5 vỗ lưng, 5 ấn bụng. 3. Nếu bất tỉnh: Gọi 115 ngay. Đặt nằm ngửa, ép tim 30 lần. Kiểm tra miệng lấy dị vật. Thổi ngạt 2 lần.
Xử trí Mất ý thức (Tư thế phục hồi);Nếu mất ý thức nhưng còn thở: Chuyển sang tư thế nằm nghiêng an toàn. 1. Đặt nằm ngửa, tay gần giơ vuông góc. 2. Đặt tay xa áp sát vào má. 3. Co chân xa lên. 4. Nắm vai và hông bên xa, kéo lật nạn nhân quay về phía mình. 5. Ngửa đầu mở đường thở. Tuyệt đối không để nằm ngửa.
Hồi sinh Tim Phổi (CPR) - Ép tim;Khi bất tỉnh và không thở: 1. Đặt nằm ngửa trên mặt phẳng cứng. 2. Vị trí ép: Nửa dưới xương ức. 3. Đặt gót bàn tay lên, tay kia chồng lên. 4. Duỗi thẳng tay, ép vuông góc. 5. Tốc độ: 100-120 lần/phút. 6. Độ sâu: ~5 cm. 7. Tỷ lệ: 30 ép tim, 2 thổi ngạt.
Hồi sinh Tim Phổi (CPR) - Thổi ngạt;1. Mở đường thở: Ngửa đầu, nâng cằm. 2. Bóp chặt mũi. 3. Hít một hơi, áp sát miệng, thổi 1 giây cho lồng ngực phồng lên. 4. Thả mũi ra, thổi lần 2. Tiếp tục chu kỳ 30 ép tim : 2 thổi ngạt.
Sơ cứu Vết thương hở (Chảy máu);1. Đảm bảo an toàn. 2. Dùng gạc sạch đè trực tiếp lên vết thương. 3. Nếu gạc ướt máu, đặt thêm gạc mới đè lên (không lấy gạc cũ ra). 4. Băng thun cố định. 5. Gọi 115 nếu máu thấm qua băng. Không rút dị vật cắm sâu ra.
Sơ cứu Vết thương kín (Bong gân);Nguyên tắc RICE: 1. Rest: Nghỉ ngơi. 2. Ice: Chườm lạnh 15-20 phút (không chườm đá trực tiếp). 3. Compression: Băng ép giảm sưng. 4. Elevation: Kê cao vùng tổn thương hơn tim.
Sơ cứu Bỏng (Phỏng);1. Đưa ra khỏi nguồn gây bỏng. 2. Làm mát vết bỏng bằng nước sạch, mát 15-20 phút. Tuyệt đối không dùng đá lạnh. 3. Tháo trang sức, quần áo chật. 4. Che màng bọc thực phẩm. 5. Không bôi bơ, kem đánh răng, không chọc vỡ bọng nước.
Sơ cứu Gãy xương;1. Gọi 115. 2. Giữ yên tĩnh. 3. Không nắn chỉnh xương gãy. 4. Cầm máu nếu có vết thương hở. 5. Cố định bằng nẹp (dài hơn khớp trên và dưới ổ gãy) và băng vải.
Sơ cứu Đột quỵ (FAST);Nhận diện FAST: F (Mặt xệ), A (Tay yếu/rơi), S (Nói líu nhíu), T (Gọi 115 ngay). Đặt nằm nghỉ ngơi, tuyệt đối không cho ăn, uống hay dùng thuốc (kể cả hạ huyết áp).
Sơ cứu Co giật, Động kinh;1. Đặt nằm xuống sàn an toàn, dọn vật sắc nhọn. 2. Kê vật mềm dưới đầu. 3. Nới lỏng quần áo. 4. Tuyệt đối không giữ chặt, khống chế. 5. Tuyệt đối không nhét vật cứng vào miệng. 6. Lật nghiêng sau khi hết co giật. Gọi 115 nếu co giật quá 5 phút.
Sơ cứu Sốc phản vệ;1. Nếu có bút tiêm Adrenalin, tiêm ngay vào đùi ngoài. 2. Gọi 115. 3. Đặt nằm ngửa, kê cao hai chân. 4. Nới lỏng quần áo. 5. Nếu ngừng thở, bắt đầu CPR ngay.
Sơ cứu Ngất xỉu;1. Đặt nằm ngửa. 2. Kê cao hai chân (~30cm). 3. Nới lỏng quần áo. 4. Chỗ thoáng khí. 5. Nếu nôn, lật nghiêng. 6. Không cho ăn uống khi chưa tỉnh hẳn. Nếu không tỉnh sau 1-2 phút, gọi 115 và CPR.
Sơ cứu Hạ đường huyết;Dấu hiệu: Vã mồ hôi, run rẩy. 1. Nếu còn tỉnh: Cho uống/ăn đồ ngọt (nước trái cây, kẹo). 2. Nếu bất tỉnh/lú lẫn: Tuyệt đối không cho ăn uống. Đặt nằm nghiêng an toàn, gọi 115.
Sơ cứu Chảy máu cam;1. Ngồi thẳng, hơi chúi người về trước (không ngửa đầu ra sau). 2. Bóp chặt hai bên cánh mũi (phần mềm) 10-15 phút, thở bằng miệng. 3. Chườm mát mũi. Gọi y tế nếu không cầm sau 30 phút.
Sơ cứu Đuối nước;1. Đưa ra khỏi nước. 2. Gọi 115. 3. Nếu không thở: Bắt đầu CPR ngay. Ưu tiên 5 lần thổi ngạt trước, sau đó chu kỳ 30 ép tim : 2 thổi ngạt. 4. Tuyệt đối không dốc ngược hay xốc nước.
Sơ cứu Say nắng, Say nóng;1. Đưa vào nơi râm mát. 2. Gọi 115 nếu lú lẫn/bất tỉnh. 3. Làm mát: Cởi bớt đồ, lau người bằng khăn mát, chườm đá vùng cổ/nách/bẹn. 4. Nếu tỉnh, cho uống từng ngụm nước mát (không cồn/cafein).
Sơ cứu bệnh nhân Hôn mê, Bất tỉnh (Tai nạn);1. Kiểm soát đường thở: Móc sạch dị vật, đất cát, đờm dãi trong miệng. Nếu ngưng thở phải hô hấp nhân tạo ngay. 2. Tư thế nằm: Nên nằm đầu cao để tránh suy hô hấp (trừ trường hợp huyết áp thấp hoặc chấn thương sọ não thì không kê đầu quá cao). 3. Vận chuyển: Cần 2-3 người nhấc bổng bệnh nhân theo tư thế nằm ngang, tuyệt đối không bế xốc bổng hay bế gập người. Gọi 115 chuyển đến bệnh viện.
