name,active_ingredient,barcode,description,contraindications
Paracetamol,Paracetamol,8931110000000,"Giảm đau, hạ sốt, chống viêm liên quan đến Paracetamol.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Aspirin,Aspirin,8931110000001,"Giảm đau, hạ sốt, chống viêm liên quan đến Aspirin.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Ibuprofen,Ibuprofen,8931110000002,"Giảm đau, hạ sốt, chống viêm liên quan đến Ibuprofen.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Diclofenac,Diclofenac,8931110000003,"Giảm đau, hạ sốt, chống viêm liên quan đến Diclofenac.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Ketoprofen,Ketoprofen,8931110000004,"Giảm đau, hạ sốt, chống viêm liên quan đến Ketoprofen.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Naproxen,Naproxen,8931110000005,"Giảm đau, hạ sốt, chống viêm liên quan đến Naproxen.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Celecoxib,Celecoxib,8931110000006,"Giảm đau, hạ sốt, chống viêm liên quan đến Celecoxib.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Panadol Extra,Panadol Extra,8931110000007,"Giảm đau, hạ sốt, chống viêm liên quan đến Panadol Extra.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Hapacol,Hapacol,8931110000008,"Giảm đau, hạ sốt, chống viêm liên quan đến Hapacol.","Người suy gan, suy thận nặng, mẫn cảm với thành phần của thuốc."
Amoxicillin,Amoxicillin,8931110000009,Điều trị các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm với Amoxicillin.,Người có tiền sử dị ứng với kháng sinh cùng nhóm.
Augmentin,Augmentin,8931110000010,Điều trị các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm với Augmentin.,Người có tiền sử dị ứng với kháng sinh cùng nhóm.
Ciprofloxacin,Ciprofloxacin,8931110000011,Điều trị các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm với Ciprofloxacin.,Người có tiền sử dị ứng với kháng sinh cùng nhóm.
Azithromycin,Azithromycin,8931110000012,Điều trị các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm với Azithromycin.,Người có tiền sử dị ứng với kháng sinh cùng nhóm.
Cephalexin,Cephalexin,8931110000013,Điều trị các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm với Cephalexin.,Người có tiền sử dị ứng với kháng sinh cùng nhóm.
Doxycycline,Doxycycline,8931110000014,Điều trị các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm với Doxycycline.,Người có tiền sử dị ứng với kháng sinh cùng nhóm.
Metronidazole,Metronidazole,8931110000015,Điều trị các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm với Metronidazole.,Người có tiền sử dị ứng với kháng sinh cùng nhóm.
