vaccine_name;disease;min_age_months;max_age_months;notes
Vắc xin BCG;Bệnh Lao;0;1;Tiêm 1 liều duy nhất trong vòng 1 tháng sau khi sinh (càng sớm càng tốt).
Vắc xin Viêm gan B (Liều sơ sinh);Viêm gan B;0;1;Tiêm 1 liều trong vòng 24 giờ sau sinh.
Vắc xin Kháng thể đơn dòng RSV;Viêm hô hấp cấp do virus RSV;0;8;Tiêm 1 liều trong những tháng đầu đời để bảo vệ trẻ sơ sinh.
Vắc xin 6 trong 1 / 5 trong 1 (Liều 1);Bạch hầu, Ho gà, Uốn ván, Bại liệt, Viêm gan B, Hib;2;3;Tiêm mũi 1 khi trẻ đủ 2 tháng tuổi.
Vắc xin bại liệt OPV/IPV (Liều 1);Bệnh Bại liệt;2;3;Uống (OPV) hoặc tiêm (IPV) mũi 1 lúc 2 tháng tuổi.
Vắc xin Rota (Liều 1);Tiêu chảy cấp do Rotavirus;2;3;Uống liều 1 lúc 2 tháng tuổi. Bắt đầu áp dụng trong TCMR.
Vắc xin Phế cầu 10/13/20 tuýp (Liều 1);Viêm phổi, Viêm màng não, Viêm tai giữa do Phế cầu;2;3;Tiêm mũi 1 (Synflorix/Prevenar 13/Vaxneuvance) lúc 2 tháng.
Vắc xin Não mô cầu B (Bexsero) (Liều 1);Viêm màng não do não mô cầu B;2;3;Tiêm mũi 1 lúc 2 tháng tuổi.
Vắc xin 6 trong 1 / 5 trong 1 (Liều 2);Bạch hầu, Ho gà, Uốn ván, Bại liệt, Viêm gan B, Hib;3;4;Tiêm mũi 2 khi trẻ đủ 3 tháng tuổi.
Vắc xin bại liệt OPV/IPV (Liều 2);Bệnh Bại liệt;3;4;Uống (OPV) hoặc tiêm (IPV) mũi 2 lúc 3 tháng tuổi.
Vắc xin Rota (Liều 2);Tiêu chảy cấp do Rotavirus;3;4;Uống liều 2 lúc 3 tháng tuổi. Vắc xin Rotarix hoàn thành ở liều này. Rotateq uống thêm liều 3.
Vắc xin Não mô cầu B (Bexsero) (Liều 2);Viêm màng não do não mô cầu B;3;4;Tiêm mũi 2 lúc 3 tháng tuổi (cách mũi 1 tối thiểu 1 tháng).
Vắc xin 6 trong 1 / 5 trong 1 (Liều 3);Bạch hầu, Ho gà, Uốn ván, Bại liệt, Viêm gan B, Hib;4;5;Tiêm mũi 3 khi trẻ đủ 4 tháng tuổi.
Vắc xin bại liệt OPV/IPV (Liều 3);Bệnh Bại liệt;4;5;Uống (OPV) hoặc tiêm (IPV) mũi 3 lúc 4 tháng tuổi.
Vắc xin Phế cầu 10/13/20 tuýp (Liều 2);Viêm phổi, Viêm màng não, Viêm tai giữa do Phế cầu;4;5;Tiêm mũi 2 lúc 4 tháng tuổi.
Vắc xin bại liệt tiêm (IPV TCMR mũi 1);Bệnh Bại liệt;5;6;Tiêm 1 mũi vắc xin bại liệt IPV lúc 5 tháng tuổi (Theo TCMR 2024).
Vắc xin Phế cầu 10/13/20 tuýp (Liều 3);Viêm phổi, Viêm màng não, Viêm tai giữa do Phế cầu;6;7;Tiêm mũi 3 lúc 6 tháng tuổi.
Vắc xin Cúm mùa (Liều 1);Cúm mùa (Các chủng cúm A và B);6;7;Tiêm mũi 1 cho trẻ từ 6 tháng tuổi.
Vắc xin Cúm mùa (Liều 2);Cúm mùa (Các chủng cúm A và B);7;8;Tiêm mũi 2 (Cách mũi 1 ít nhất 1 tháng đối với trẻ tiêm lần đầu).
Vắc xin Não mô cầu BC (VA-MENGOC-BC);Viêm màng não do não mô cầu B, C;6;10;Tiêm 2 mũi, mũi 2 cách mũi 1 từ 6-8 tuần. Dành cho trẻ từ 6 tháng tuổi.
Vắc xin Sởi đơn (MVVac);Sởi;9;10;Tiêm mũi 1 khi trẻ tròn 9 tháng tuổi. Có thể tiêm lúc 6 tháng nếu có dịch.
Vắc xin bại liệt tiêm (IPV TCMR mũi 2);Bệnh Bại liệt;9;10;Tiêm vắc xin bại liệt IPV mũi 2 lúc 9 tháng tuổi (Cập nhật TCMR 2024).
Vắc xin Não mô cầu ACYW (Menactra/MenQuadfi) (Liều 1);Viêm màng não do não mô cầu A, C, Y, W-135;9;12;Tiêm mũi 1 cho trẻ từ 9 tháng tuổi.
Vắc xin Viêm não Nhật Bản (Imojev) (Liều 1);Viêm não Nhật Bản;9;12;Tiêm mũi 1 lúc 9 tháng tuổi. (Mũi 2 nhắc lại sau 1-2 năm).
Vắc xin Sởi - Quai bị - Rubella (MMR);Sởi, Quai bị, Rubella;12;15;Tiêm mũi 1 khi trẻ từ 12 tháng tuổi.
Vắc xin Thủy đậu;Thủy đậu;12;15;Tiêm mũi 1 lúc 12 tháng tuổi. Mũi 2 nhắc lại cách 1-3 tháng tùy loại.
Vắc xin Viêm não Nhật Bản B (Jevax) (Cơ bản);Viêm não Nhật Bản;12;15;Mũi 1 lúc 1 tuổi. Mũi 2 cách 1-2 tuần. Mũi 3 cách 1 năm.
Vắc xin Viêm gan A (Liều 1);Viêm gan A;12;15;Tiêm mũi 1 lúc 12 tháng tuổi.
Vắc xin Viêm gan A & B (Twinrix);Viêm gan A và Viêm gan B;12;720;Trẻ 1-15 tuổi tiêm 2 mũi cách 6 tháng. Từ 16 tuổi trở lên tiêm 3 mũi (0-1-6).
